Gene540	CAT
Gene541	CATSPER2
Gene542	CAV2
Gene543	CAVIN2
Gene544	CAVIN3
Gene545	CBARP
Gene546	CBFB
Gene547	CBL
Gene548	CBLB
Gene549	CBLIF
Gene550	CBLN1
Gene551	CBLN3
Gene552	CBLN4
Gene553	CBR1
Gene554	CBS
Gene555	CBSL
Gene556	CBWD2
Gene557	CBX1
Gene558	CBX3
Gene559	CBX5
Gene560	CBX7
Gene561	CC2D1A
Gene562	CCAR2
Gene563	CCAT2
Gene564	CCBE1
Gene565	CCDC102B
Gene566	CCDC103
Gene567	CCDC113
Gene568	CCDC124
Gene569	CCDC136
Gene570	CCDC137
Gene571	CCDC14
Gene572	CCDC141
Gene573	CCDC170
Gene574	CCDC27
Gene575	CCDC33
Gene576	CCDC43
Gene577	CCDC50
Gene578	CCDC51
Gene579	CCDC57
Gene580	CCDC6
Gene581	CCDC61
Gene582	CCDC62
Gene583	CCDC7
Gene584	CCDC77
Gene585	CCDC80
Gene586	CCDC86
Gene587	CCDC9
Gene588	CCDC91
Gene589	CCK
Gene590	CCKAR
Gene591	CCKBR
Gene592	CCL1
Gene593	CCL11
Gene594	CCL13
Gene595	CCL14
Gene596	CCL15
Gene597	CCL16
Gene598	CCL17
Gene599	CCL18
Gene600	CCL19
Gene601	CCL20
Gene602	CCL22
Gene603	CCL23
Gene604	CCL24
Gene605	CCL25
Gene606	CCL26
Gene607	CCL27
Gene608	CCL28
Gene609	CCL7
Gene610	CCL8
Gene611	CCN1
Gene612	CCN2
Gene613	CCN3
Gene614	CCN4
Gene615	CCN5
Gene616	CCNA1
Gene617	CCNA2
Gene618	CCNB1
Gene619	CCNB2
Gene620	CCNB3
Gene621	CCND1
Gene622	CCND2
Gene623	CCND3
Gene624	CCNDBP1
Gene625	CCNE1
Gene626	CCNO
Gene627	CCNT1
Gene628	CCNY
Gene629	CCR1
Gene630	CCR2
Gene631	CCR3
Gene632	CCR4
Gene633	CCR5
Gene634	CCR6
Gene635	CCR7
Gene636	CCR8
Gene637	CCR9
Gene638	CCRL2
Gene639	CCT2
Gene640	CCT3
Gene641	CCT5
Gene642	CCT6A
Gene643	CCT7
Gene644	CCT8
Gene645	CD101
Gene646	CD109
Gene647	CD14
Gene648	CD151
Gene649	CD160
Gene650	CD163
Gene651	CD177
Gene652	CD180
Gene653	CD19
Gene654	CD1A
Gene655	CD1B
Gene656	CD1C
Gene657	CD1D
Gene658	CD1E
Gene659	CD2
Gene660	CD200
Gene661	CD207
Gene662	CD209
Gene663	CD22
Gene664	CD226
Gene665	CD244
Gene666	CD247
Gene667	CD248
Gene668	CD27
Gene669	CD274
Gene670	CD276
Gene671	CD28
Gene672	CD2AP
Gene673	CD2BP2
Gene674	CD300A
Gene675	CD300C
Gene676	CD300E
Gene677	CD302
Gene678	CD320
Gene679	CD33
Gene680	CD34
Gene681	CD36
Gene682	CD38
Gene683	CD3E
Gene684	CD3EAP
Gene685	CD3G
Gene686	CD4
Gene687	CD40
Gene688	CD40LG
Gene689	CD44
Gene690	CD46
Gene691	CD47
Gene692	CD5
Gene693	CD55
Gene694	CD58
Gene695	CD59
Gene696	CD5L
Gene697	CD6
Gene698	CD68
Gene699	CD7
Gene700	CD70
Gene701	CD72
Gene702	CD79A
Gene703	CD79B
Gene704	CD80
Gene705	CD82
Gene706	CD83
Gene707	CD84
Gene708	CD86
Gene709	CD8A
Gene710	CD8B
Gene711	CD93
Gene712	CD96
Gene713	CD99
Gene714	CDA
Gene715	CDAN1
Gene716	CDC123
Gene717	CDC14A
Gene718	CDC20
Gene719	CDC25A
Gene720	CDC25C
Gene721	CDC27
Gene722	CDC34
Gene723	CDC37
Gene724	CDC42
Gene725	CDC42BPG
Gene726	CDC6
Gene727	CDC73
Gene728	CDCA2
Gene729	CDCA3
Gene730	CDCA7L
Gene731	CDCP1
Gene732	CDH1
Gene733	CDH11
Gene734	CDH13
Gene735	CDH16
Gene736	CDH2
Gene737	CDH22
Gene738	CDH23
Gene739	CDH3
Gene740	CDH5
Gene741	CDH6
Gene742	CDH7
Gene743	CDHR1
Gene744	CDHR2
Gene745	CDK1
Gene746	CDK10
Gene747	CDK14
Gene748	CDK16
Gene749	CDK17
Gene750	CDK18
Gene751	CDK2
Gene752	CDK3
Gene753	CDK4
Gene754	CDK5
Gene755	CDK5RAP1
Gene756	CDK6
Gene757	CDK7
Gene758	CDK8
Gene759	CDK9
Gene760	CDKAL1
Gene761	CDKL1
Gene762	CDKL3
Gene763	CDKN1A
Gene764	CDKN1B
Gene765	CDKN1C
Gene766	CDKN2A
Gene767	CDKN2AIP
Gene768	CDKN2B
Gene769	CDKN3
Gene770	CDR2L
Gene771	CDSN
Gene772	CDV3
Gene773	CDX1
Gene774	CDX2
Gene775	CEACAM1
Gene776	CEACAM3
Gene777	CEACAM8
Gene778	CEBPA
Gene779	CELSR1
Gene780	CELSR2
Gene781	CELSR3
Gene782	CEMIP2
Gene783	CENPA
Gene784	CENPB
Gene785	CENPF
Gene786	CENPV
Gene787	CEP112
Gene788	CEP128
Gene789	CEP170
Gene790	CEP19
Gene791	CEP44
Gene792	CEP55
Gene793	CEP85
Gene794	CES1
Gene795	CETP
Gene796	CFAP20
Gene797	CFAP43
Gene798	CFAP46
Gene799	CFAP47
Gene800	CFB
Gene801	CFC1
Gene802	CFDP1
Gene803	CFH
Gene804	CFHR1
Gene805	CFL2
Gene806	CFLAR
Gene807	CFP
Gene808	CFTR
Gene809	CGAS
Gene810	CGB3
Gene811	CGNL1
Gene812	CGRRF1
Gene813	CH25H
Gene814	CHAD
Gene815	CHAF1A
Gene816	CHAMP1
Gene817	CHD3
Gene818	CHD5
Gene819	CHD7
Gene820	CHEK1
Gene821	CHEK2
Gene822	CHFR
Gene823	CHIT1
Gene824	CHKA
Gene825	CHODL
Gene826	CHRAC1
Gene827	CHRDL2
Gene828	CHRM1
Gene829	CHRM2
Gene830	CHRM3
Gene831	CHRM4
Gene832	CHRM5
Gene833	CHRNA2
Gene834	CHRNA3
Gene835	CHRNA4
Gene836	CHRNA5
Gene837	CHRNA6
Gene838	CHRNA7
Gene839	CHRNB1
Gene840	CHRNB2
Gene841	CHRNB3
Gene842	CHRNB4
Gene843	CHST8
Gene844	CHUK
Gene845	CIDEC
Gene846	CIITA
Gene847	CILP2
Gene848	CINP
Gene849	CIP2A
Gene850	CISD2
Gene851	CKAP2
Gene852	CKAP4
Gene853	CKAP5
Gene854	CKS2
Gene855	CLCN3
Gene856	CLCN4
Gene857	CLCN5
Gene858	CLDN1
Gene859	CLDN18
Gene860	CLDN5
Gene861	CLDN7
Gene862	CLEC10A
Gene863	CLEC12A
Gene864	CLEC14A
Gene865	CLEC16A
Gene866	CLEC2A
Gene867	CLEC4A
Gene868	CLEC4C
Gene869	CLEC4D
Gene870	CLEC4M
Gene871	CLEC5A
Gene872	CLEC6A
Gene873	CLEC7A
Gene874	CLEC9A
Gene875	CLGN
Gene876	CLIC3
Gene877	CLIC4
Gene878	CLIC6
Gene879	CLK2
Gene880	CLK3
Gene881	CLK4
Gene882	CLN3
Gene883	CLN5
Gene884	CLNK
Gene885	CLOCK
Gene886	CLPTM1L
Gene887	CLPX
Gene888	CLSTN1
Gene889	CLSTN3
Gene890	CLTC
Gene891	CMA1
Gene892	CMKLR1
Gene893	CMSS1
Gene894	CMTM5
Gene895	CMTM8
Gene896	CMYA5
Gene897	CNDP1
