pathway,p_value,z_score,tissue
HIF-1 signaling pathway,0.0099502487562189,4.425159056578066,subcutaneous_adipose_tissue
FoxO signaling pathway,0.0298507462686567,2.858813789202446,subcutaneous_adipose_tissue
Calcium signaling pathway,0.0049751243781094,316.7974628787252,subcutaneous_adipose_tissue
cAMP signaling pathway,0.0049751243781094,9.149724438032964,subcutaneous_adipose_tissue
cGMP-PKG signaling pathway,0.0049751243781094,171.337988328695,subcutaneous_adipose_tissue
PI3K-Akt signaling pathway,0.0049751243781094,110314.38271128452,subcutaneous_adipose_tissue
chr1p13,0.5049900199600799,-0.1367171966447082,subcutaneous_adipose_tissue
chr1p12,0.9860279441117764,-0.0857338479358526,subcutaneous_adipose_tissue
chr1p31,0.9820359281437124,-0.2695920143208672,subcutaneous_adipose_tissue
chr1q44,0.8243512974051896,-0.3880386901062567,subcutaneous_adipose_tissue
chr1p35,0.9241516966067864,-0.4975628052195739,subcutaneous_adipose_tissue
Notch signaling pathway,0.099502487562189,0.1785969005135121,thymus
MAPK signaling pathway,0.044776119402985,1.611298868361349,thymus
Ras signaling pathway,0.0049751243781094,15.709901160024314,thymus
Rap1 signaling pathway,0.0049751243781094,12.811367272559677,thymus
JAK-STAT signaling pathway,0.1044776119402985,0.1745800707982605,thymus
NF-kappa B signaling pathway,0.0099502487562189,3.828598747857269,thymus
TNF signaling pathway,0.0149253731343283,0.73631963537626,thymus
HIF-1 signaling pathway,0.0049751243781094,9.894491610502772,thymus
FoxO signaling pathway,0.0199004975124378,3.161268088292267,thymus
Calcium signaling pathway,0.0149253731343283,3.502433411781709,thymus
cAMP signaling pathway,0.0149253731343283,2.488101741343163,thymus
cGMP-PKG signaling pathway,0.0099502487562189,8.81136109903065,thymus
PI3K-Akt signaling pathway,0.0099502487562189,8.802767485449982,thymus
chr1p13,0.06187624750499,0.553938893563545,thymus
chr1p12,0.7325349301397206,-0.1511660372545241,thymus
chr1p31,0.2614770459081836,-0.046765750631829,thymus
chr1q44,0.810379241516966,-0.2233195347325511,thymus
chr1p35,0.7405189620758483,-0.4677994883329459,thymus
